title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
"Triple Concerto in C Major, Op. 56: 3. Rondo alla Polacca - Live at Philharmonie, Berlin / 2019",Ludwig van Beethoven,classical,2020,2020?12?02,105,30,37,-16,7,35,760,85,4,38
"Triple Concerto in C Major, Op. 56: 1. Allegro - Live at Philharmonie, Berlin / 2019",Ludwig van Beethoven,classical,2020,2020?12?02,125,29,35,-17,9,22,1077,83,4,30
"Triple Concerto in C Major, Op. 56: 2. Largo - attacca - Live at Philharmonie, Berlin / 2019",Ludwig van Beethoven,classical,2020,2020?12?02,90,10,20,-23,20,4,314,79,4,30
"Symphony No. 7 in A Major, Op. 92: 2. Allegretto - Live at CCK, Buenos Aires / 2019",Ludwig van Beethoven,classical,2020,2020?12?02,124,6,24,-20,12,4,568,94,4,26
"Symphony No. 7 in A Major, Op. 92: 1. Poco sostenuto - Vivace - Live at CCK, Buenos Aires / 2019",Ludwig van Beethoven,classical,2020,2020?12?02,93,22,27,-14,10,6,759,96,4,25
"Symphony No. 7 in A Major, Op. 92: 3. Presto - Assai meno presto - Live at CCK, Buenos Aires / 2019",Ludwig van Beethoven,classical,2020,2020?12?02,63,26,22,-16,15,15,531,97,6,23
"Symphony No. 7 in A Major, Op. 92: 4. Allegro con brio - Live at CCK, Buenos Aires / 2019",Ludwig van Beethoven,classical,2020,2020?12?02,73,40,36,-12,14,32,422,92,3,23
