title,artist,genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Floor,Tomberlin,indie,96,42,48,-9,11,24,274,16,3,45
Diet,Shamir,indie,120,70,65,-7,40,70,197,0,5,45
National Song,Nana Adjoa,indie,118,42,54,-10,12,6,266,5,3,45
Waiting,Yb.,indie,118,71,75,-8,16,77,160,0,4,44
Saturday Nights,Weston Estate,indie,172,75,57,-7,10,63,151,70,8,44
Head Down,Ambar Lucid,indie,100,66,69,-4,20,37,256,27,3,43
"to Perth, before the border closes",Julia Jacklin,indie,96,27,59,-12,11,23,177,30,3,43
Best I Ever Had,LAUREL,indie,106,74,72,-6,7,62,244,35,4,43
Nominated,Ginger Root,indie,122,69,82,-6,10,71,211,55,4,42
Frontlawn,AVIV,indie,122,61,46,-8,10,41,153,9,4,42
Static,Knox Fortune,indie,146,59,68,-7,18,75,244,1,4,41
Shattering The Hourglass,Deep Sea Diver,indie,123,36,34,-9,10,12,292,22,3,41
Hearts and Flowers,Ralph Castelli,indie,150,43,57,-10,10,47,198,33,3,41
Hard to Explain,Blood Cultures,indie,130,54,47,-10,18,72,175,3,3,41
I Guess This is Life,Jordana,indie,92,54,64,-7,11,32,212,26,3,40
Under the Skin,Sunset Rollercoaster,indie,93,46,75,-12,10,66,227,18,3,40
Free to Live in Colour,Pixey,indie,116,74,55,-6,13,66,194,10,4,40
Postcard from Spain,Quarter-Life Crisis,indie,150,35,51,-8,11,7,209,13,3,40
"I Love You Why Would I Ever Leave? (Oh Right, and I'm Pretty High)",Wa'el,indie,110,73,65,-11,9,21,354,2,3,40
Waterfall,Quarter-Life Crisis,indie,100,65,75,-8,9,98,143,5,3,39
Beluga Baby,Baird,indie,170,70,74,-7,12,73,161,39,7,39
giant bat,WENS,indie,122,30,70,-13,18,75,155,93,5,37
Fever Sweat,Girlhood,indie,85,65,66,-6,33,56,187,1,5,37
"I'll Do Anything but Break Dance for Ya, Darling",Kate Davis,indie,118,30,66,-9,12,19,241,55,3,37
"Dear Diary,",Bring Me The Horizon,metal,118,97,51,-4,13,26,165,0,19,71
Animals,Architects,metal,95,76,53,-4,7,29,244,0,3,71
SLEEPS SOCIETY,While She Sleeps,metal,85,95,22,-4,31,32,201,0,23,63
The Triumph of King Freak (A Crypt of Preservation and Superstition),Rob Zombie,metal,100,92,55,-5,8,38,247,0,6,58
Midnight Train,The Amity Affliction,metal,132,89,55,-6,10,38,197,0,4,57
Abyss of Time - Countdown to Singularity -,Epica,metal,140,93,44,-7,30,24,320,0,7,55
Fire in the Streets,Our Last Night,metal,138,90,53,-3,8,44,177,0,7,54
To the Light - Japanese Bonus Track,Imminence,metal,75,95,36,-5,31,21,218,0,6,54
Killing Season,Thy Art Is Murder,metal,140,97,32,-3,35,22,212,0,21,53
Antagonist,Soen,metal,108,97,48,-4,38,40,362,0,5,53
The Nothingness and the Devil,Soilwork,metal,143,96,39,-5,35,16,336,0,7,51
Killing What's Underneath,Like Moths To Flames,metal,145,97,44,-3,24,72,195,0,8,50
Instinctive (Slaughterlust),Hatebreed,metal,93,97,57,-5,50,24,172,0,9,50
Any Second,Written by Wolves,metal,97,87,47,-8,10,31,215,6,6,49
The Chain,Black Stone Cherry,metal,102,94,60,-3,34,67,207,0,3,48
Pernicious,Signs of the Swarm,metal,105,99,42,-2,6,8,315,0,13,48
Lock & Key,Intervals,metal,105,97,56,-6,31,60,296,0,10,48
Dream Gone Bad,Killer Be Killed,metal,110,99,30,-3,34,21,255,0,13,48
"I, Pallbearer",Harakiri for the Sky,metal,150,96,40,-8,11,30,422,0,8,48
Leväluhta,Korpiklaani,metal,175,94,50,-5,33,88,230,0,7,47
Divide,Assume Nothing,metal,101,95,42,-7,12,24,193,0,6,47
The Notebook,Wildways,metal,114,98,49,-5,29,39,259,0,7,46
Never Healing,ENMY,metal,98,89,43,-5,11,16,227,0,6,46
Eastern Lights,A Scent Like Wolves,metal,140,99,49,-4,37,47,198,0,12,46
Power of the High,Cane Hill,metal,145,97,42,-4,6,17,205,0,18,45
Bottom of a Bottle,Butcher Babies,metal,91,97,53,-3,34,51,200,0,8,45
Am I Evil?,Diamond Head,metal,148,97,24,-5,12,37,505,0,15,45
Don't Wake Me Up,dEMOTIONAL,metal,150,97,43,-5,26,37,186,0,10,45
Shameless,VRSTY,metal,121,92,62,-4,33,37,215,0,5,45
Black Heart,Within The Ruins,metal,145,100,41,-3,34,9,276,0,22,44
Kvitravn,Wardruna,metal,62,66,39,-6,60,23,378,6,3,44
Zombieland,Hämatom,metal,160,98,50,-4,16,28,235,0,8,43
Out of Existence,Emma Ruth Rundle,metal,85,67,19,-8,13,23,223,0,3,43
(A)tension,Versus Me,metal,140,97,46,-3,57,45,224,0,15,43
Red Queen,King 810,metal,164,98,47,-3,17,40,243,0,17,42
The Gift,Daniel Tompkins,metal,123,91,28,-6,24,22,233,0,6,42
Bite My Tongue,Phil Campbell and the Bastard Sons,metal,106,95,53,-5,32,64,187,0,4,42
Slaughtered in Soho,Carcass,metal,80,90,36,-7,14,55,278,0,8,41
Better Days,Speaking With Ghosts,metal,140,98,53,-5,23,30,204,0,9,41
Miserable Summer,To The Grave,metal,138,82,42,-8,9,27,295,0,4,41
Red Shade,IMMERSE,metal,160,91,44,-6,39,38,227,0,5,41
The World Is Burning,Ember Falls,metal,150,95,42,-7,43,56,252,0,10,41
Hypocrites / Habla Español O Muere,Mr. Bungle,metal,138,96,24,-6,15,17,223,0,16,40
Party’s Over,Employed To Serve,metal,145,92,44,-6,41,78,229,0,11,40
I Don't Want to Be Afraid Anymore,Prison,metal,144,96,44,-2,34,35,172,0,22,40
Dancing in Hell,Eleine,metal,85,96,22,-7,7,26,307,0,12,39
Missile to Gun,Armored Saint,metal,114,99,53,-3,36,20,263,0,8,39
Dawn of Corruption,Distant,metal,120,95,46,-5,10,11,247,0,19,39
YØU & I,GHØSTKID,metal,170,97,36,-6,23,28,262,0,10,38
Make It Violent,Wake Up Hate,metal,145,100,50,-3,7,24,180,0,12,38
Never Say Die,Wig Wam,metal,130,78,46,-10,61,40,244,0,4,38
Into the Black,Lords of Black,metal,170,93,42,-4,25,55,238,0,5,38
Sheer Khan,Gama Bomb,metal,105,98,34,-4,37,9,278,0,23,38
The Forest Dark,Green Druid,metal,110,67,33,-7,10,12,671,0,4,38
Queen of the Damned,DAMN NATION,metal,193,88,28,-6,13,53,209,0,10,38
No One's Above,Abbie Falls,metal,90,99,19,-3,23,7,214,0,14,37
Intercorrupted,Ra,metal,152,87,48,-5,30,20,242,0,6,37
Havoc,Andromida,metal,167,95,43,-4,28,67,309,0,5,37
Particle,Pyramaze,metal,105,91,52,-8,9,34,265,0,5,37
"Oh God, I've Never Felt This Low",To Kill Achilles,metal,134,88,38,-9,33,35,237,0,11,37
Edict,Genus Ordinis Dei,metal,111,79,53,-6,10,18,402,0,5,37
Surrender,DGM,metal,85,99,42,-5,29,24,340,0,13,37
It's Already Over,Portrayal of Guilt,metal,154,85,22,-5,6,13,162,0,4,36
Resilience ?,October Ends,metal,145,95,41,-5,27,50,207,0,15,36
Skalpell,Paleface,metal,120,96,35,-4,21,24,262,0,13,36
Desolate Specter,Termina,metal,155,96,46,-7,31,25,193,0,12,36
Devil's Head,Nicolas Cage Fighter,metal,170,88,15,-7,39,41,216,0,6,36
A Fragile Existence,Psycroptic,metal,160,95,35,-7,9,6,274,0,10,35
Suffering,LIMBS,metal,105,98,38,-3,35,18,300,0,13,35
The Dark Unbroken,Dark Tranquillity,metal,146,98,41,-6,22,20,295,0,8,34
Alive,Bury Me Alive,metal,140,98,50,-3,15,17,191,0,16,34
Creatures,BrokenRail,metal,120,98,50,-5,17,8,232,0,14,34
Strain,Mors Subita,metal,100,93,47,-7,34,8,369,0,11,32
Terrorized,Beloved Ghouls,metal,104,96,32,-8,14,12,302,0,15,32
Næ?ir um,Au?n,metal,172,76,12,-8,37,18,304,0,7,32
The Rising Tide,The Five Hundred,metal,120,99,47,-2,29,18,240,0,13,32
Hell Is Empty,VCTMS,metal,95,100,49,-2,18,27,165,0,9,32
Let It Die,Everyone Loves A Villain,metal,180,96,36,-4,35,35,197,0,15,29
Right Here,TIMELESS,metal,125,90,54,-7,10,51,214,0,4,29
When the World is Falling Down,Vanden Plas,metal,101,97,47,-5,13,19,426,0,7,29
Cicatrice,Respire,metal,123,95,25,-6,74,5,296,0,10,29
Guided by Evil,Nervosa,metal,100,95,51,-8,34,13,210,0,4,29
The Devil Will See You Now,Bleed The Sky,metal,180,95,42,-5,10,34,241,0,11,28
Agonize,Dead Girls Academy,metal,100,88,54,-6,13,21,202,0,9,28
Doom,Scour,metal,124,91,26,-5,38,7,182,0,10,28
Invisible War,Insidious Disease,metal,94,99,20,-5,21,12,246,0,10,27
Defekt,GrooVenoM,metal,140,97,51,-5,48,55,252,0,9,27
Uranus (feat. Michael Starr),NanowaR of Steel,metal,102,92,55,-6,3,40,253,0,5,27
Sleepwalkers,Draconian,metal,110,52,39,-9,13,5,405,0,3,26
A Night To Dismember,Bloody Hammers,metal,100,91,53,-5,6,72,198,0,3,26
Calcified Youth,Blood From The Soul,metal,148,97,33,-5,29,17,274,0,6,26
Chapter II,Devil in the Details,metal,122,97,52,-4,25,32,202,0,10,26
No Difference,Evildead,metal,88,97,32,-4,54,35,260,0,17,26
Digue,Déluge,metal,180,95,27,-5,77,6,363,0,12,26
Indoctrination,Sodom,metal,100,97,45,-7,31,49,191,0,5,25
Detritus of the Final Age,Harlott,metal,103,95,28,-6,27,11,294,0,11,25
The promethean fire,Loudblast,metal,130,97,46,-4,14,17,239,0,11,25
Winds Of Slaughter,Shrapnel,metal,187,96,31,-5,36,51,284,0,8,24
Der Jegermeister,Trollfest,metal,115,96,37,-7,11,42,283,0,6,24
Necropolis (City of the Damned),Subzero,metal,112,94,29,-5,11,34,171,0,6,23
Marching On Versailles - Acoustic,Ad Infinitum,metal,102,66,65,-6,5,27,232,1,3,15
